['1845', 14.2318546093, 14.25, 14.45, 14.4681453907],
['1855', 14.2201549155, 14.2555555556, 14.4555555556, 14.4909561956],
['1865', 14.2472222222, 14.3388888889, 14.5388888889, 14.6305555556],
['1875', 14.3156642441, 14.3277777778, 14.5277777778, 14.5398913115],
['1885', 14.1812911459, 14.2277777778, 14.4277777778, 14.4742644097],
['1895', 14.1148837804, 14.1888888889, 14.3888888889, 14.4628939974],
['1905', 14.1275695745, 14.1944444444, 14.3944444444, 14.4613193144],
['1915', 14.3234971676, 14.3166666667, 14.5166666667, 14.5098361657],
['1925', 14.4705605382, 14.4944444444, 14.6944444444, 14.7183283507],
['1935', 14.4553662593, 14.5388888889, 14.7388888889, 14.8224115184],
['1945', 14.3701695646, 14.4666666667, 14.6666666667, 14.7631637687],
['1955', 14.4620399126, 14.5111111111, 14.7111111111, 14.7601823096],
['1965', 14.507515886, 14.6722222222, 14.8722222222, 15.0369285585],
['1975', 14.9647389447, 14.9777777778, 15.1777777778, 15.1908166108],
['1985', 15.034594711, 15.1388888889, 15.3388888889, 15.4431830668],
['1995', 15.2148020965, 15.2833333333, 15.4833333333, 15.5518645701],
